full_tweets,location,quote_count,reply_count,retweet_count,favorite_count,language
"رجوعالمتسابقينمطلبناالفراشات يهددون ناصر الغامدي بـ كورونا وان تجمعات ممنوعه ،،عشان متسابقهم خايفين عليه يختفي ،،،،،",unknown,1,0,2,3,ar
كورونا,unknown,0,0,0,0,ar
وزارة الدفاعتجهيز 16 مركز وعيادة لتطعيم منسوبي الوزارة ضد فيروس كورونا بمختلف مناطق المملكة,"القنفذة, المملكة العربية السعودية",0,17,14,36,ar
"أخذ اللقاح ضد فايروس كورونا المتوفر هو واجبٌ إنساني وأخلاقي ووطني لحماية انفسنا، ولإيقاف انتشار هذه الجائحةاللقاح",unknown,0,0,14,17,ar
معلومات عن لقاح موديرنااللقاحواجب,unknown,0,0,2,1,ar
اللهم صل على محمد وال محمد,unknown,0,0,0,0,ar
للأسف من بداية أزمة الوباء المزعوم حذر الأحرار في البرلمان الايطالي من كذبة كورونا ومن مدى التضليل الإعلامي والتضخيم من فايروس وهمي لاوجود له ولا يعدو كونه إنفلونزا طبيعية ولكن لم يلتفت إليه وبسبب هذا هانحن نعيش تحت رحمة حفنة من الأوغاد تحدد خط مسار حياتنا اليومية وكيف يكون,Switzerland,0,0,0,0,ar
اللقاحات انقذت البشرية من الاوبئة المدمرة واليوم لقاح فيروس كورونا سينقذ العالم من الهلاكاللقاحواجب,unknown,0,0,1,0,ar
photo  معلومات عن لقاح سينوفارماللقاحواجب,unknown,0,0,0,0,ar
إصابة فتاة في بعلبك برصاصة طائشة o o,Lebanon,0,0,0,0,ar
وصول 20 ألف جرعة من لقاح كورونا لــ قطاع غزة بدعم اماراتي وبجهود النائب محمد دحلانلاتشيلواهم,unknown,0,0,0,0,ar
